                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2691,                 2.4759,                 1.3686,                0.87173,                0.50562,                0.68127,                0.38745,                 1.4313,                 2.7614,                 1.4114,             0.00065833,             0.00065833,             0.00065833
                      2,                  1.267,                  1.888,                  1.335,                0.84559,                 0.7191,                0.82447,                 0.5161,                 1.2043,                  2.828,                 1.3729,              0.0012725,              0.0012725,              0.0012725
                      3,                 1.3404,                 1.7152,                  1.384,                0.80233,                0.72969,                 0.7787,                0.50139,                 1.2446,                 2.0254,                 1.2493,              0.0018339,              0.0018339,              0.0018339
                      4,                 1.3357,                 1.6568,                 1.4224,                0.84381,                0.75281,                0.82752,                0.55597,                 1.1802,                 1.8155,                 1.2577,              0.0017624,              0.0017624,              0.0017624
                      5,                 1.2632,                 1.4301,                 1.3545,                 0.9161,                0.76404,                0.89643,                0.62118,                 1.0735,                 1.1575,                 1.2097,              0.0017624,              0.0017624,              0.0017624
                      6,                 1.2675,                 1.3096,                 1.3412,                 0.8865,                0.76404,                0.86506,                0.57214,                 1.0933,                 1.1689,                 1.2217,              0.0016832,              0.0016832,              0.0016832
                      7,                 1.1939,                 1.1904,                 1.2929,                0.91072,                0.82022,                0.92228,                0.63037,                 1.0584,                0.99275,                 1.1512,               0.001604,               0.001604,               0.001604
                      8,                 1.1941,                 1.1495,                 1.2707,                0.85656,                0.80899,                0.87412,                0.61351,                 1.0729,                0.99569,                  1.151,              0.0015248,              0.0015248,              0.0015248
                      9,                 1.1776,                 1.1076,                  1.272,                0.91903,                0.89278,                0.95284,                0.67125,                0.98591,                0.77674,                 1.1224,              0.0014456,              0.0014456,              0.0014456
                     10,                 1.1526,                 1.0725,                 1.2704,                0.85698,                 0.8764,                 0.9228,                0.66855,                 0.9527,                0.77687,                 1.0913,              0.0013664,              0.0013664,              0.0013664
                     11,                 1.1179,                0.99507,                 1.2441,                0.83281,                0.89553,                 0.9356,                0.64398,                 1.0632,                0.78859,                 1.1667,              0.0012872,              0.0012872,              0.0012872
                     12,                 1.1311,                0.96818,                  1.246,                0.91735,                0.83146,                0.92511,                0.62895,                 1.0781,                0.81169,                 1.1652,               0.001208,               0.001208,               0.001208
                     13,                 1.1483,                 1.0009,                 1.2605,                0.90161,                0.86517,                0.93152,                0.66757,                0.96693,                0.73895,                 1.1116,              0.0011288,              0.0011288,              0.0011288
                     14,                 1.0882,                0.90871,                 1.2212,                0.90621,                0.88764,                 0.9428,                0.69477,                0.98362,                0.68183,                 1.0704,              0.0010496,              0.0010496,              0.0010496
                     15,                 1.1308,                0.97122,                  1.253,                0.91097,                0.91976,                0.96945,                0.72339,                0.91791,                0.60891,                 1.0586,              0.0009704,              0.0009704,              0.0009704
                     16,                0.96137,                0.75248,                 1.1463,                 0.8608,                0.91011,                0.94862,                0.70051,                0.90805,                0.68462,                 1.0624,              0.0008912,              0.0008912,              0.0008912
                     17,                0.99144,                0.73034,                 1.1534,                0.91704,                0.94382,                0.91444,                 0.6535,                 0.9514,                  0.672,                 1.0816,               0.000812,               0.000812,               0.000812
                     18,                0.96055,                0.67899,                 1.1273,                 0.9044,                0.91011,                0.95762,                0.72771,                0.89275,                0.61734,                 1.0382,              0.0007328,              0.0007328,              0.0007328
                     19,                 0.9139,                0.67688,                 1.1049,                0.89437,                0.93258,                0.93144,                0.69999,                0.87768,                0.63741,                 1.0301,              0.0006536,              0.0006536,              0.0006536
                     20,                0.92193,                0.64957,                 1.1182,                0.87188,                0.92135,                0.93894,                0.71802,                0.89698,                0.65153,                  1.051,              0.0005744,              0.0005744,              0.0005744
                     21,                0.90415,                0.63838,                 1.1014,                0.92118,                0.91926,                0.96184,                 0.7258,                0.89729,                0.61459,                 1.0468,              0.0004952,              0.0004952,              0.0004952
                     22,                0.87426,                0.60513,                 1.0905,                 0.8978,                0.93258,                0.96937,                0.73883,                 0.8494,                  0.577,                 1.0272,               0.000416,               0.000416,               0.000416
                     23,                0.85617,                0.57556,                 1.0741,                0.93118,                0.91219,                0.97068,                0.75054,                0.84773,                0.52697,                 1.0291,              0.0003368,              0.0003368,              0.0003368
                     24,                0.83917,                0.57484,                   1.06,                0.87619,                0.94382,                0.95774,                0.73803,                0.87454,                0.55795,                 1.0345,              0.0002576,              0.0002576,              0.0002576
                     25,                 0.8393,                 0.5592,                 1.0577,                0.96186,                0.91011,                 0.9703,                 0.7581,                0.84558,                0.52912,                 1.0221,              0.0001784,              0.0001784,              0.0001784
