                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2686,                  2.606,                 3.1326,                 1.4239,                 0.3571,                 0.4167,                 0.3584,                0.23538,                0.36205,                0.42127,                0.35954,                0.22014,                 1.1835,                 2.3487,                 2.2235,                 1.3727,             0.00025488,             0.00025488,             0.00025488
                      2,                 1.1075,                 2.0229,                 2.0022,                 1.2741,                0.48776,                0.60369,                0.56303,                0.38727,                0.48823,                0.58299,                0.55383,                0.35483,                 1.0846,                 2.2717,                 1.6718,                 1.3015,             0.00048591,             0.00048591,             0.00048591
                      3,                  1.055,                 1.9428,                  1.732,                 1.2233,                0.60764,                0.72317,                0.68017,                0.49339,                0.62455,                0.69292,                0.66936,                0.44033,                0.96617,                 2.0575,                 1.4147,                 1.1785,             0.00069156,             0.00069156,             0.00069156
                      4,                 1.0267,                 1.8415,                 1.5645,                 1.1881,                0.60821,                0.68191,                0.68923,                0.50427,                0.60799,                0.68066,                0.68708,                0.48171,                0.96737,                 1.6411,                 1.3224,                 1.1776,              0.0006548,              0.0006548,              0.0006548
                      5,                  0.969,                 1.6969,                 1.4152,                 1.1471,                0.74032,                0.70405,                0.76382,                0.57395,                0.74061,                0.70048,                0.75709,                0.53719,                0.93781,                  1.665,                 1.2123,                 1.1777,              0.0006548,              0.0006548,              0.0006548
                      6,                0.94307,                 1.6237,                 1.3408,                 1.1348,                0.75688,                0.77229,                0.80805,                0.61936,                0.75534,                0.77063,                0.80605,                0.58564,                0.84615,                 1.5089,                 1.0607,                 1.0991,             0.00061674,             0.00061674,             0.00061674
                      7,                0.91748,                 1.5784,                 1.2622,                 1.1136,                0.79961,                0.80158,                0.84805,                0.66992,                0.80548,                0.80392,                0.84999,                 0.6436,                0.83089,                 1.4295,                0.94436,                 1.0787,             0.00057867,             0.00057867,             0.00057867
                      8,                0.87845,                 1.5151,                 1.1724,                 1.0964,                0.86045,                0.79341,                0.86129,                0.67945,                 0.8601,                0.79169,                0.85199,                 0.6356,                0.81802,                 1.4966,                0.93849,                 1.0735,             0.00054061,             0.00054061,             0.00054061
                      9,                0.86145,                 1.4791,                 1.1017,                 1.0837,                0.84775,                 0.8261,                0.89047,                0.71985,                0.84688,                0.83208,                0.89267,                0.69831,                0.78517,                 1.3314,                0.84176,                 1.0532,             0.00050254,             0.00050254,             0.00050254
                     10,                0.84463,                 1.4274,                 1.0521,                 1.0755,                0.89204,                0.84211,                0.91348,                0.73888,                0.90247,                0.83938,                0.91127,                0.70635,                0.77636,                 1.2974,                0.79593,                 1.0509,             0.00046448,             0.00046448,             0.00046448
                     11,                0.80348,                 1.3038,                0.95341,                 1.0712,                0.89886,                0.83905,                 0.9085,                0.73799,                0.90523,                0.84387,                0.91136,                0.72573,                0.77015,                 1.2513,                0.76167,                 1.0389,             0.00042641,             0.00042641,             0.00042641
                     12,                0.75472,                 1.1984,                  0.833,                 1.0335,                0.89033,                0.85322,                0.91996,                0.74592,                0.89444,                0.85579,                0.92124,                0.73614,                0.74002,                 1.2194,                0.70769,                 1.0324,             0.00038835,             0.00038835,             0.00038835
                     13,                0.72834,                 1.1341,                0.78019,                  1.019,                0.90457,                0.85969,                0.93202,                0.76365,                0.90248,                0.87136,                0.93412,                0.76255,                0.74013,                 1.1605,                0.69984,                 1.0164,             0.00035028,             0.00035028,             0.00035028
                     14,                0.71358,                 1.1081,                0.73872,                 1.0074,                0.90312,                0.85053,                0.92698,                0.76793,                0.91525,                0.86108,                0.93129,                0.75212,                0.71739,                 1.1755,                0.68636,                 1.0071,             0.00031221,             0.00031221,             0.00031221
                     15,                0.68783,                 1.0757,                0.71128,                0.99815,                0.92056,                0.89404,                0.93906,                0.78261,                0.92384,                0.89628,                0.93828,                0.76038,                0.71489,                 1.1503,                0.62956,                 1.0025,             0.00027415,             0.00027415,             0.00027415
                     16,                 0.6645,                 1.0398,                0.67657,                0.98179,                0.93153,                0.89336,                0.94408,                0.79267,                0.93322,                0.89643,                0.94521,                 0.7836,                0.68416,                 1.1282,                 0.5873,                0.98266,             0.00023608,             0.00023608,             0.00023608
                     17,                0.65031,                0.99807,                0.64042,                0.97615,                0.93161,                0.89113,                0.94501,                 0.7947,                0.93536,                0.89453,                0.94999,                0.78382,                0.67972,                 1.0732,                0.57724,                0.98169,             0.00019802,             0.00019802,             0.00019802
                     18,                0.63497,                0.96807,                0.61994,                0.96624,                0.92835,                0.90134,                0.95272,                0.80892,                 0.9343,                0.90697,                0.95474,                0.79391,                0.65508,                 1.0604,                0.54334,                0.96969,             0.00015995,             0.00015995,             0.00015995
                     19,                0.61605,                0.95978,                 0.6029,                0.95428,                0.93081,                0.90552,                 0.9489,                0.80783,                0.93908,                0.91166,                0.95383,                0.79478,                0.64972,                 1.0486,                0.53582,                 0.9658,             0.00012189,             0.00012189,             0.00012189
                     20,                 0.6107,                0.93834,                0.58604,                0.94753,                0.93652,                0.90631,                0.95296,                 0.8151,                 0.9445,                0.91682,                0.95506,                0.80714,                0.64199,                 1.0156,                0.52661,                0.96038,             8.3821e-05,             8.3821e-05,             8.3821e-05
